web-scraper-order,model_raw,Location,PLZ,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,lat,lon
1705078003-1,X3 xDrive 20d xLine Steptronic,GE,1227,2016,22900,119500.0,0,0,1,1,50-120k,14937.5,46.1838493347168,6.138751029968262
1705078003-2,540i,BL,4461,2006,13750,124900.0,0,0,0,1,120k+,6938.89,47.46242904663086,7.835723400115967
1705078003-3,225xe iPerformance Active Tourer Steptronic M Spor,BL,4460,2019,28800,28950.0,0,0,0,1,0-50k,5790.0,47.467308044433594,7.848388195037842
1705078003-4,316i Compact,ZG,6300,2000,1100,248013.0,0,0,0,1,120k+,10333.88,47.18659591674805,8.499632835388184
1705078003-5,530xi Steptronic,LU,6010,2008,10900,160000.0,0,0,0,1,120k+,10000.0,47.044532775878906,8.272661209106445
1705078003-6,X5 xDrive 40d Steptronic,TI,6964,2015,33900,125900.0,0,0,1,1,120k+,13988.89,46.02970886230469,8.977370262145996
1705078003-7,525d Touring,FR,1700,2004,3300,336000.0,0,0,0,1,120k+,16800.0,46.804176330566406,7.1857991218566895
1705078003-8,225i xDrive Active Tourer Steptronic,BE,3400,2017,13500,97000.0,0,0,1,1,50-120k,13857.14,47.05270767211914,7.623175144195557
1705078003-9,435i Coupé xDrive Sport Line Steptronic,ZH,8157,2014,22950,112500.0,0,0,1,1,50-120k,11250.0,47.48373031616211,8.451621055603027
1705078003-10,X5 xDrive 48V 40d M Sport Pro Steptronic,VD,1530,2024,112300,,0,0,1,1,,,46.830360412597656,6.941364765167236
1705078007-11,X3 xDrive 20d M Sport Steptronic,VD,1018,2016,23500,120093.0,0,0,1,1,120k+,15011.62,46.53960418701172,6.623505115509033
1705078007-12,X3 xDrive 30e,BL,4147,4147,86999,,0,0,1,1,,,47.465938568115234,7.600322723388672
1705078007-13,X1 xDrive 30e,BE,3048,3048,69900,,0,0,1,1,,,46.978904724121094,7.463196754455566
1705078007-14,X1 xDrive 23d 48V M Sport,TI,6595,2022,56900,26500.0,0,0,1,1,0-50k,13250.0,46.18085479736328,8.883561134338379
1705078007-15,iX1 xDrive 30 M Sport,ZH,8048,8048,71900,,0,0,1,1,,,47.38456344604492,8.485977172851562
1705078007-16,iX xDrive40,SG,9500,9500,99900,,0,0,1,1,,,47.46745300292969,9.041117668151855
1705078007-17,i3 (94Ah),AG,8957,2016,14900,75200.0,0,0,0,1,50-120k,9400.0,47.41796112060547,8.355324745178223
1705078007-18,730d xDrive Steptronic,SZ,6410,2019,69900,45200.0,0,0,1,1,0-50k,9040.0,47.056461334228516,8.555829048156738
1705078007-19,520d xDrive Luxury Line Steptronic,SO,4658,2018,26900,134000.0,1,0,1,1,120k+,22333.33,47.352638244628906,7.962329387664795
1705078007-20,X5 xDrive M50d Steptronic,ZH,8000,2020,69999,72000.0,0,0,1,1,50-120k,18000.0,,
1705078010-21,328i Touring Luxury Line,BE,3535,2012,7000,162000.0,1,0,0,0,120k+,13500.0,46.92573165893555,7.737620830535889
1705078010-22,X5 xDrive 40i xLine Steptronic,VD,1296,2019,59900,90000.0,0,0,1,1,50-120k,18000.0,46.323062896728516,6.184390068054199
1705078010-23,440i Gran Coupé xDrive M Sport Steptronic,GE,1213,2018,36900,85000.0,0,0,1,1,50-120k,14166.67,46.854034423828125,8.683573722839355
1705078010-24,420i Coupé xDrive M Sport Steptronic,AG,4310,2019,31666,31000.0,0,0,1,1,0-50k,6200.0,47.54450607299805,7.775994300842285
1705078010-25,iX1 xDrive 30,SG,9443,2023,61700,4000.0,0,0,1,1,0-50k,4000.0,47.3978271484375,9.643622398376465
1705078010-26,320d Touring Sport Line Steptronic,BE,2557,2013,13990,180000.0,0,0,0,1,120k+,16363.64,47.11109161376953,7.316707611083984
1705078010-27,X3 xDrive 48V 20d Pure M Sport Steptronic,LU,6023,2021,39700,63000.0,0,0,1,1,50-120k,21000.0,47.10652542114258,8.27383041381836
1705078010-28,Z4 sDrive 20i M Sport,ZH,8134,2021,45900,11000.0,0,0,0,1,0-50k,3666.67,47.325477600097656,8.52845287322998
1705078010-29,X6 xDrive 30d Steptronic,ZH,8302,2020,69800,40150.0,0,0,1,1,0-50k,10037.5,47.462501525878906,8.579726219177246
1705078010-30,X5 xDrive45e Steptronic,AG,5610,2020,65900,62000.0,0,0,1,1,50-120k,15500.0,47.34919357299805,8.265459060668945
1705078013-31,X5 xDrive M Steptronic,AG,5502,2010,18500,180000.0,0,0,1,1,120k+,12857.14,47.387908935546875,8.124641418457031
1705078013-32,118i,TG,8500,2006,6900,134000.0,0,0,0,0,120k+,7444.44,47.549861907958984,8.935318946838379
1705078013-33,318i Touring,ZH,8952,2009,5500,152500.0,0,0,0,0,120k+,10166.67,47.39497756958008,8.437274932861328
1705078013-34,640i Cabrio xDrive,ZG,6343,2017,47320,41700.0,0,0,1,1,0-50k,5957.14,47.13243865966797,8.441862106323242
1705078013-35,X3 M40i Individual,AG,5702,2022,72900,10199.0,0,0,0,1,0-50k,5099.5,46.459197998046875,6.213508605957031
1705078013-36,X4 M40i Steptronic,AG,5702,2019,51900,62830.0,0,0,0,1,50-120k,12566.0,46.459197998046875,6.213508605957031
1705078013-37,X5 xDrive 40d Pure M Sport Steptronic,SO,4512,2018,40900,113000.0,0,0,1,1,50-120k,18833.33,47.21414566040039,7.507473468780518
1705078013-38,X1 xDrive 18d Sport Line Steptronic,TI,6991,2015,11500,148000.0,0,0,1,1,120k+,16444.44,45.9872932434082,8.882638931274414
1705078013-39,535i xDrive Steptronic,VD,1303,2014,27900,31000.0,0,0,1,1,0-50k,3100.0,46.59490966796875,6.54041862487793
1705078013-40,220i Luxury Line Steptronic,AG,5032,2017,21500,89000.0,1,0,0,1,50-120k,12714.29,47.39850997924805,8.079865455627441
1705078016-41,X3 xDrive M40i Steptronic,SG,9434,2018,34500,137800.0,0,0,1,1,120k+,22966.67,47.43368148803711,9.634199142456055
1705078016-42,340i xDrive Touring M Sport Steptronic,FR,1616,2015,33900,94000.0,0,0,1,1,50-120k,10444.44,46.512874603271484,6.848125457763672
1705078016-43,420d Gran Coupé xDrive M Sport Steptronic,SZ,6438,2016,19500,161500.0,0,0,1,1,120k+,20187.5,47.00703811645508,8.644054412841797
1705078016-44,530d Touring xDrive Luxury Line Steptronic,SG,9450,2014,16500,186000.0,1,0,1,1,120k+,18600.0,47.378875732421875,9.540489196777344
