web-scraper-order,web-scraper-start-url,text_raw,price_raw,model_raw,type_year_km_transmission_fuel,Location,PLZ,km_raw,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,km_per_year_cat
1705078003-1,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW X3 X3 XDRIVE 20D XLINE STEPTRONICCHF 22'900AB CHF 367 / MONAT4 / 6OCCASION05.2016119.500 KMAUTOMATDIESEL1227 (GE)PREISCHF 22'900FINANZIERUNGAB CHF 367 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 22'900,X3 xDrive 20d xLine Steptronic,Occasion05.2016119.500 kmAutomatDiesel1227 (GE),GE,1227,119.500,2016,22900,119500,0,0,1,1,50-120k,14937.5,medium
1705078003-2,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW 540 540ICHF 13'750AB CHF 220 / MONAT5 / 6OCCASION05.2006124.900 KMAUTOMATBENZIN4461 (BL)PREISCHF 13'750FINANZIERUNGAB CHF 220 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 13'750,540i,Occasion05.2006124.900 kmAutomatBenzin4461 (BL),BL,4461,124.900,2006,13750,124900,0,0,0,1,120k+,6938.89,low
1705078003-3,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW 225 ACTIVE TOURER 225XE IPERFORMANCE ACTIVE TOURER STEPTRONIC M SPORCHF 28'800AB CHF 461 / MONAT5 / 6OCCASION09.201928.950 KMAUTOMATBENZIN/ELEKTRO4460 (BL)PREISCHF 28'800FINANZIERUNGAB CHF 461 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 28'800,225xe iPerformance Active Tourer Steptronic M Spor,Occasion09.201928.950 kmAutomatBenzin/Elektro4460 (BL),BL,4460,28.950,2019,28800,28950,0,0,0,1,0-50k,5790.0,low
1705078003-4,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW 316 316I COMPACTCHF 1'100OCCASION04.2000248.013 KMAUTOMATBENZIN6300 (ZG)PREISCHF 1'100ANFRAGEN MERKENDETAILS,CHF 1'100,316i Compact,Occasion04.2000248.013 kmAutomatBenzin6300 (ZG),ZG,6300,248.013,2000,1100,248013,0,0,0,1,120k+,10333.88,medium
1705078003-5,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW 530 530XI STEPTRONICCHF 10'900AB CHF 175 / MONAT5.5 / 6OCCASION06.2008160.000 KMAUTOMATBENZIN6010 (LU)PREISCHF 10'900FINANZIERUNGAB CHF 175 / MONAT5.5 / 6ANFRAGEN MERKENDETAILS,CHF 10'900,530xi Steptronic,Occasion06.2008160.000 kmAutomatBenzin6010 (LU),LU,6010,160.000,2008,10900,160000,0,0,0,1,120k+,10000.0,low
1705078003-6,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW X5 X5 XDRIVE 40D STEPTRONICCHF 33'900AB CHF 543 / MONAT3.5 / 6OCCASION04.2015125.900 KMAUTOMATDIESEL6964 (TI)PREISCHF 33'900FINANZIERUNGAB CHF 543 / MONAT3.5 / 6ANFRAGEN MERKENDETAILS,CHF 33'900,X5 xDrive 40d Steptronic,Occasion04.2015125.900 kmAutomatDiesel6964 (TI),TI,6964,125.900,2015,33900,125900,0,0,1,1,120k+,13988.89,medium
1705078003-7,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW 525 525D TOURINGCHF 3'3005.5 / 6OCCASION10.2004336.000 KMAUTOMATDIESEL1700 (FR)PREISCHF 3'3005.5 / 6ANFRAGEN MERKENDETAILS,CHF 3'300,525d Touring,Occasion10.2004336.000 kmAutomatDiesel1700 (FR),FR,1700,336.000,2004,3300,336000,0,0,0,1,120k+,16800.0,high
1705078003-8,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW 225 ACTIVE TOURER 225I XDRIVE ACTIVE TOURER STEPTRONICCHF 13'500AB CHF 216 / MONAT5.5 / 6OCCASION08.201797.000 KMAUTOMATBENZIN3400 (BE)PREISCHF 13'500FINANZIERUNGAB CHF 216 / MONAT5.5 / 6ANFRAGEN MERKENDETAILS,CHF 13'500,225i xDrive Active Tourer Steptronic,Occasion08.201797.000 kmAutomatBenzin3400 (BE),BE,3400,97.000,2017,13500,97000,0,0,1,1,50-120k,13857.14,medium
1705078003-9,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW 435 435I COUPÉ XDRIVE SPORT LINE STEPTRONICCHF 22'950AB CHF 367 / MONAT4.5 / 6OCCASION06.2014112.500 KMAUTOMATBENZIN8157 (ZH)PREISCHF 22'950FINANZIERUNGAB CHF 367 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 22'950,435i Coupé xDrive Sport Line Steptronic,Occasion06.2014112.500 kmAutomatBenzin8157 (ZH),ZH,8157,112.500,2014,22950,112500,0,0,1,1,50-120k,11250.0,medium
1705078003-10,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99,BMW X5 X5 XDRIVE 48V 40D M SPORT PRO STEPTRONICCHF 112'300AB CHF 1'798 / MONATOCCASION01.202410 KMAUTOMATELEKTRO/DIESEL1530 (VD)PREISCHF 112'300FINANZIERUNGAB CHF 1'798 / MONAT MERKENDETAILS,CHF 112'300,X5 xDrive 48V 40d M Sport Pro Steptronic,Occasion01.202410 kmAutomatElektro/Diesel1530 (VD),VD,1530,,2024,112300,,0,0,1,1,,,
1705078007-11,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW X3 X3 XDRIVE 20D M SPORT STEPTRONICCHF 23'500AB CHF 376 / MONAT4.5 / 6OCCASION11.2016120.093 KMAUTOMATDIESEL1018 (VD)PREISCHF 23'500FINANZIERUNGAB CHF 376 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 23'500,X3 xDrive 20d M Sport Steptronic,Occasion11.2016120.093 kmAutomatDiesel1018 (VD),VD,1018,120.093,2016,23500,120093,0,0,1,1,120k+,15011.62,high
1705078007-12,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW X3 X3 XDRIVE 30ECHF 86'999AB CHF 1'393 / MONATNEUWAGEN10 KMAUTOMATBENZIN/ELEKTRO4147 (BL)PREISCHF 86'999FINANZIERUNGAB CHF 1'393 / MONATANFRAGEN MERKENDETAILS,CHF 86'999,X3 xDrive 30e,Neuwagen10 kmAutomatBenzin/Elektro4147 (BL),BL,4147,,4147,86999,,0,0,1,1,,,
1705078007-13,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW X1 X1 XDRIVE 30ECHF 69'900AB CHF 1'119 / MONATNEUWAGEN10 KMAUTOMATBENZIN/ELEKTRO3048 (BE)PREISCHF 69'900FINANZIERUNGAB CHF 1'119 / MONATANFRAGEN MERKENDETAILS,CHF 69'900,X1 xDrive 30e,Neuwagen10 kmAutomatBenzin/Elektro3048 (BE),BE,3048,,3048,69900,,0,0,1,1,,,
1705078007-14,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW X1 X1 XDRIVE 23D 48V M SPORTCHF 56'900AB CHF 911 / MONAT4 / 6OCCASION12.202226.500 KMAUTOMATELEKTRO/DIESEL6595 (TI)PREISCHF 56'900FINANZIERUNGAB CHF 911 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 56'900,X1 xDrive 23d 48V M Sport,Occasion12.202226.500 kmAutomatElektro/Diesel6595 (TI),TI,6595,26.500,2022,56900,26500,0,0,1,1,0-50k,13250.0,medium
1705078007-15,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW IX IX1 XDRIVE 30 M SPORTCHF 71'900AB CHF 1'151 / MONATNEUWAGEN10 KMAUTOMATELEKTRO8048 (ZH)PREISCHF 71'900FINANZIERUNGAB CHF 1'151 / MONATANFRAGEN MERKENDETAILS,CHF 71'900,iX1 xDrive 30 M Sport,Neuwagen10 kmAutomatElektro8048 (ZH),ZH,8048,,8048,71900,,0,0,1,1,,,
1705078007-16,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW IX IX XDRIVE40CHF 99'900AB CHF 1'599 / MONATNEUWAGEN10 KMAUTOMATELEKTRO9500 (SG)PREISCHF 99'900FINANZIERUNGAB CHF 1'599 / MONATANFRAGEN MERKENDETAILS,CHF 99'900,iX xDrive40,Neuwagen10 kmAutomatElektro9500 (SG),SG,9500,,9500,99900,,0,0,1,1,,,
1705078007-17,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW I3 I3 (94AH)CHF 14'900AB CHF 239 / MONAT5 / 6OCCASION09.201675.200 KMAUTOMATELEKTRO8957 (AG)PREISCHF 14'900FINANZIERUNGAB CHF 239 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 14'900,i3 (94Ah),Occasion09.201675.200 kmAutomatElektro8957 (AG),AG,8957,75.200,2016,14900,75200,0,0,0,1,50-120k,9400.0,low
1705078007-18,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW 730 730D XDRIVE STEPTRONICCHF 69'900AB CHF 1'119 / MONAT4.5 / 6OCCASION10.201945.200 KMAUTOMATDIESEL6410 (SZ)PREISCHF 69'900FINANZIERUNGAB CHF 1'119 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 69'900,730d xDrive Steptronic,Occasion10.201945.200 kmAutomatDiesel6410 (SZ),SZ,6410,45.200,2019,69900,45200,0,0,1,1,0-50k,9040.0,low
1705078007-19,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW 520 520D XDRIVE LUXURY LINE STEPTRONICCHF 26'900AB CHF 431 / MONAT5 / 6OCCASION10.2018134.000 KMAUTOMATDIESEL4658 (SO)PREISCHF 26'900FINANZIERUNGAB CHF 431 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 26'900,520d xDrive Luxury Line Steptronic,Occasion10.2018134.000 kmAutomatDiesel4658 (SO),SO,4658,134.000,2018,26900,134000,1,0,1,1,120k+,22333.33,high
1705078007-20,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98,BMW X5 X5 XDRIVE M50D STEPTRONICCHF 69'999AB CHF 1'121 / MONAT4.5 / 6OCCASION11.202072.000 KMAUTOMATDIESEL8000 (ZH)PREISCHF 69'999FINANZIERUNGAB CHF 1'121 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 69'999,X5 xDrive M50d Steptronic,Occasion11.202072.000 kmAutomatDiesel8000 (ZH),ZH,8000,72.000,2020,69999,72000,0,0,1,1,50-120k,18000.0,high
1705078010-21,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW 328 328I TOURING LUXURY LINECHF 7'000AB CHF 112 / MONAT6 / 6OCCASION12.2012162.000 KMMANUELLBENZIN3535 (BE)PREISCHF 7'000FINANZIERUNGAB CHF 112 / MONAT6 / 6ANFRAGEN MERKENDETAILS,CHF 7'000,328i Touring Luxury Line,Occasion12.2012162.000 kmManuellBenzin3535 (BE),BE,3535,162.000,2012,7000,162000,1,0,0,0,120k+,13500.0,medium
1705078010-22,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW X5 X5 XDRIVE 40I XLINE STEPTRONICCHF 59'900AB CHF 959 / MONAT3.5 / 6OCCASION09.201990.000 KMAUTOMATBENZIN1296 (VD)PREISCHF 59'900FINANZIERUNGAB CHF 959 / MONAT3.5 / 6ANFRAGEN MERKENDETAILS,CHF 59'900,X5 xDrive 40i xLine Steptronic,Occasion09.201990.000 kmAutomatBenzin1296 (VD),VD,1296,90.000,2019,59900,90000,0,0,1,1,50-120k,18000.0,high
1705078010-23,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW 440 440I GRAN COUPÉ XDRIVE M SPORT STEPTRONICCHF 36'900AB CHF 591 / MONAT4.5 / 6OCCASION03.201885.000 KMAUTOMATBENZIN1213 (GE)PREISCHF 36'900FINANZIERUNGAB CHF 591 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 36'900,440i Gran Coupé xDrive M Sport Steptronic,Occasion03.201885.000 kmAutomatBenzin1213 (GE),GE,1213,85.000,2018,36900,85000,0,0,1,1,50-120k,14166.67,medium
1705078010-24,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW 420 420I COUPÉ XDRIVE M SPORT STEPTRONICCHF 31'666AB CHF 507 / MONAT5 / 6OCCASION09.201931.000 KMAUTOMATBENZIN4310 (AG)PREISCHF 31'666FINANZIERUNGAB CHF 507 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 31'666,420i Coupé xDrive M Sport Steptronic,Occasion09.201931.000 kmAutomatBenzin4310 (AG),AG,4310,31.000,2019,31666,31000,0,0,1,1,0-50k,6200.0,low
1705078010-25,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW IX IX1 XDRIVE 30CHF 61'700AB CHF 988 / MONAT4 / 6OCCASION06.20234.000 KMAUTOMATELEKTRO9443 (SG)PREISCHF 61'700FINANZIERUNGAB CHF 988 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 61'700,iX1 xDrive 30,Occasion06.20234.000 kmAutomatElektro9443 (SG),SG,9443,4.000,2023,61700,4000,0,0,1,1,0-50k,4000.0,low
1705078010-26,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW 320 320D TOURING SPORT LINE STEPTRONICCHF 13'990AB CHF 224 / MONAT4 / 6OCCASION03.2013180.000 KMAUTOMATDIESEL2557 (BE)PREISCHF 13'990FINANZIERUNGAB CHF 224 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 13'990,320d Touring Sport Line Steptronic,Occasion03.2013180.000 kmAutomatDiesel2557 (BE),BE,2557,180.000,2013,13990,180000,0,0,0,1,120k+,16363.64,high
1705078010-27,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW X3 X3 XDRIVE 48V 20D PURE M SPORT STEPTRONICCHF 39'700AB CHF 636 / MONAT5 / 6OCCASION07.202163.000 KMAUTOMATELEKTRO/DIESEL6023 (LU)PREISCHF 39'700FINANZIERUNGAB CHF 636 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 39'700,X3 xDrive 48V 20d Pure M Sport Steptronic,Occasion07.202163.000 kmAutomatElektro/Diesel6023 (LU),LU,6023,63.000,2021,39700,63000,0,0,1,1,50-120k,21000.0,high
1705078010-28,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW Z4 Z4 SDRIVE 20I M SPORTCHF 45'900AB CHF 735 / MONAT4.5 / 6OCCASION05.202111.000 KMAUTOMATBENZIN8134 (ZH)PREISCHF 45'900FINANZIERUNGAB CHF 735 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 45'900,Z4 sDrive 20i M Sport,Occasion05.202111.000 kmAutomatBenzin8134 (ZH),ZH,8134,11.000,2021,45900,11000,0,0,0,1,0-50k,3666.67,low
1705078010-29,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW X6 X6 XDRIVE 30D STEPTRONICCHF 69'800AB CHF 1'117 / MONAT4 / 6OCCASION08.202040.150 KMAUTOMATDIESEL8302 (ZH)PREISCHF 69'800FINANZIERUNGAB CHF 1'117 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 69'800,X6 xDrive 30d Steptronic,Occasion08.202040.150 kmAutomatDiesel8302 (ZH),ZH,8302,40.150,2020,69800,40150,0,0,1,1,0-50k,10037.5,medium
1705078010-30,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97,BMW X5 X5 XDRIVE45E STEPTRONICCHF 65'900AB CHF 1'055 / MONAT4 / 6OCCASION04.202062.000 KMAUTOMATBENZIN/ELEKTRO5610 (AG)PREISCHF 65'900FINANZIERUNGAB CHF 1'055 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 65'900,X5 xDrive45e Steptronic,Occasion04.202062.000 kmAutomatBenzin/Elektro5610 (AG),AG,5610,62.000,2020,65900,62000,0,0,1,1,50-120k,15500.0,high
1705078013-31,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW X5 X5 XDRIVE M STEPTRONICCHF 18'500AB CHF 296 / MONAT5.5 / 6OCCASION06.2010180.000 KMAUTOMATBENZIN5502 (AG)PREISCHF 18'500FINANZIERUNGAB CHF 296 / MONAT5.5 / 6ANFRAGEN MERKENDETAILS,CHF 18'500,X5 xDrive M Steptronic,Occasion06.2010180.000 kmAutomatBenzin5502 (AG),AG,5502,180.000,2010,18500,180000,0,0,1,1,120k+,12857.14,medium
1705078013-32,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW 118 118ICHF 6'900AB CHF 110 / MONAT4.5 / 6OCCASION06.2006134.000 KMMANUELLBENZIN8500 (TG)PREISCHF 6'900FINANZIERUNGAB CHF 110 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 6'900,118i,Occasion06.2006134.000 kmManuellBenzin8500 (TG),TG,8500,134.000,2006,6900,134000,0,0,0,0,120k+,7444.44,low
1705078013-33,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW 318 318I TOURINGCHF 5'500AB CHF 88 / MONAT5.5 / 6OCCASION06.2009152.500 KMMANUELLBENZIN8952 (ZH)PREISCHF 5'500FINANZIERUNGAB CHF 88 / MONAT5.5 / 6ANFRAGEN MERKENDETAILS,CHF 5'500,318i Touring,Occasion06.2009152.500 kmManuellBenzin8952 (ZH),ZH,8952,152.500,2009,5500,152500,0,0,0,0,120k+,10166.67,medium
1705078013-34,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW 640 640I CABRIO XDRIVECHF 47'320AB CHF 758 / MONAT5.5 / 6OCCASION12.201741.700 KMAUTOMATBENZIN6343 (ZG)PREISCHF 47'320FINANZIERUNGAB CHF 758 / MONAT5.5 / 6ANFRAGEN MERKENDETAILS,CHF 47'320,640i Cabrio xDrive,Occasion12.201741.700 kmAutomatBenzin6343 (ZG),ZG,6343,41.700,2017,47320,41700,0,0,1,1,0-50k,5957.14,low
1705078013-35,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW X3 X3 M40I INDIVIDUALCHF 72'900AB CHF 1'167 / MONAT5 / 6OCCASION09.202210.199 KMAUTOMATELEKTRO/DIESEL5702 (AG)PREISCHF 72'900FINANZIERUNGAB CHF 1'167 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 72'900,X3 M40i Individual,Occasion09.202210.199 kmAutomatElektro/Diesel5702 (AG),AG,5702,10.199,2022,72900,10199,0,0,0,1,0-50k,5099.5,low
1705078013-36,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW X4 X4 M40I STEPTRONICCHF 51'900AB CHF 831 / MONAT4.5 / 6OCCASION05.201962.830 KMAUTOMATBENZIN5702 (AG)PREISCHF 51'900FINANZIERUNGAB CHF 831 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 51'900,X4 M40i Steptronic,Occasion05.201962.830 kmAutomatBenzin5702 (AG),AG,5702,62.830,2019,51900,62830,0,0,0,1,50-120k,12566.0,medium
1705078013-37,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW X5 X5 XDRIVE 40D PURE M SPORT STEPTRONICCHF 40'900AB CHF 655 / MONAT4.5 / 6OCCASION09.2018113.000 KMAUTOMATDIESEL4512 (SO)PREISCHF 40'900FINANZIERUNGAB CHF 655 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 40'900,X5 xDrive 40d Pure M Sport Steptronic,Occasion09.2018113.000 kmAutomatDiesel4512 (SO),SO,4512,113.000,2018,40900,113000,0,0,1,1,50-120k,18833.33,high
1705078013-38,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW X1 X1 XDRIVE 18D SPORT LINE STEPTRONICCHF 11'500AB CHF 184 / MONAT5 / 6OCCASION12.2015148.000 KMAUTOMATDIESEL6991 (TI)PREISCHF 11'500FINANZIERUNGAB CHF 184 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 11'500,X1 xDrive 18d Sport Line Steptronic,Occasion12.2015148.000 kmAutomatDiesel6991 (TI),TI,6991,148.000,2015,11500,148000,0,0,1,1,120k+,16444.44,high
1705078013-39,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW 535 535I XDRIVE STEPTRONICCHF 27'900AB CHF 447 / MONAT5.5 / 6OCCASION04.201431.000 KMAUTOMATBENZIN1303 (VD)PREISCHF 27'900FINANZIERUNGAB CHF 447 / MONAT5.5 / 6ANFRAGEN MERKENDETAILS,CHF 27'900,535i xDrive Steptronic,Occasion04.201431.000 kmAutomatBenzin1303 (VD),VD,1303,31.000,2014,27900,31000,0,0,1,1,0-50k,3100.0,low
1705078013-40,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96,BMW 220 220I LUXURY LINE STEPTRONICCHF 21'500AB CHF 344 / MONAT4.5 / 6OCCASION03.201789.000 KMAUTOMATBENZIN5032 (AG)PREISCHF 21'500FINANZIERUNGAB CHF 344 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 21'500,220i Luxury Line Steptronic,Occasion03.201789.000 kmAutomatBenzin5032 (AG),AG,5032,89.000,2017,21500,89000,1,0,0,1,50-120k,12714.29,medium
