web-scraper-order,web-scraper-start-url,text_raw,price_raw,model_raw,description_raw,year_km_fueltype_transmission
"1704313064-1","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","CHF 24’500compare iconfavourite iconBMW 2er 218d xDrive Gran Tourer Steptronic 7-PLÄTZER!!!7-PLÄTZER MIT ALLRAD, AUTOMAT, TRAUMHAFTE AUSSTATTUNG UND GRATIS-SERVICE ZUM ABS...2020 · 46’900 km · Diesel · AutomatikpricecheckGünstigumbrellaKäuferschutzAutowelt 24 AG·8305 Dietlikon, Zürich","","","",""
"1704313064-2","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","CHF 24’500","","",""
"1704313064-3","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","BMW 2er 218d xDrive Gran Tourer Steptronic 7-PLÄTZER!!!","",""
"1704313064-4","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","7-PLÄTZER MIT ALLRAD, AUTOMAT, TRAUMHAFTE AUSSTATTUNG UND GRATIS-SERVICE ZUM ABS...",""
"1704313064-5","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","","2020 · 46’900 km · Diesel · Automatik"
"1704313064-6","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","CHF 28’900compare iconfavourite iconBMW X3 xDrive 48V 20d SteptronicAUS 1. HAND MIT ALLRAD TOP-AUSSTATTUNG ZUM ABSOLUTEN SPARPREIS!!! NUR BEI AUTOWE...2020 · 114’700 km · Elektro/Diesel · AutomatikpricecheckMarktpreisumbrellaKäuferschutzAutowelt 24 AG·8305 Dietlikon, Zürich","","","",""
"1704313064-7","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","CHF 28’900","","",""
"1704313064-8","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","BMW X3 xDrive 48V 20d Steptronic","",""
"1704313064-9","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","AUS 1. HAND MIT ALLRAD TOP-AUSSTATTUNG ZUM ABSOLUTEN SPARPREIS!!! NUR BEI AUTOWE...",""
"1704313064-10","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","","2020 · 114’700 km · Elektro/Diesel · Automatik"
"1704313064-11","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","CHF 34’980Leasing ab 432.29 CHF/Monat**compare iconfavourite iconBMW X2 xDrive 20i M SportTeil Leder, Navigation, El.Heckdeckel, Sitzheizung, Tempomat, LED Scheinwerfer, ...2022 · 3’940 km · Benzin · AutomatikpricecheckSehr günstigumbrellaKäuferschutzAutohaus Schiess AG·8604 Hegnau, Zürich","","","",""
"1704313064-12","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","CHF 34’980","","",""
"1704313064-13","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","BMW X2 xDrive 20i M Sport","",""
"1704313064-14","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","Teil Leder, Navigation, El.Heckdeckel, Sitzheizung, Tempomat, LED Scheinwerfer, ...",""
"1704313064-15","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","","2022 · 3’940 km · Benzin · Automatik"
"1704313064-16","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","",""
"1704313064-17","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","",""
"1704313064-18","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","",""
"1704313064-19","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","",""
"1704313064-20","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","",""
"1704313064-21","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","",""
"1704313064-22","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","",""
"1704313064-23","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","",""
"1704313064-24","https://www.carforyou.ch/de/auto/bmw?cityId=5568&radius=10&pn=5","","","","",""
