web-scraper-order,web-scraper-start-url,text_raw,price_raw,model_raw,type_year_km_transmission_fuel
1705078003-1,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW X3 X3 xDrive 20d xLine SteptronicCHF 22'900ab CHF 367 / Monat4 / 6Occasion05.2016119.500 kmAutomatDiesel1227 (GE)PreisCHF 22'900Finanzierungab CHF 367 / Monat4 / 6Anfragen MerkenDetails","CHF 22'900","X3 xDrive 20d xLine Steptronic","Occasion05.2016119.500 kmAutomatDiesel1227 (GE)"
1705078003-2,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW 540 540iCHF 13'750ab CHF 220 / Monat5 / 6Occasion05.2006124.900 kmAutomatBenzin4461 (BL)PreisCHF 13'750Finanzierungab CHF 220 / Monat5 / 6Anfragen MerkenDetails","CHF 13'750","540i","Occasion05.2006124.900 kmAutomatBenzin4461 (BL)"
1705078003-3,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW 225 Active Tourer 225xe iPerformance Active Tourer Steptronic M SporCHF 28'800ab CHF 461 / Monat5 / 6Occasion09.201928.950 kmAutomatBenzin/Elektro4460 (BL)PreisCHF 28'800Finanzierungab CHF 461 / Monat5 / 6Anfragen MerkenDetails","CHF 28'800","225xe iPerformance Active Tourer Steptronic M Spor","Occasion09.201928.950 kmAutomatBenzin/Elektro4460 (BL)"
1705078003-4,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW 316 316i CompactCHF 1'100Occasion04.2000248.013 kmAutomatBenzin6300 (ZG)PreisCHF 1'100Anfragen MerkenDetails","CHF 1'100","316i Compact","Occasion04.2000248.013 kmAutomatBenzin6300 (ZG)"
1705078003-5,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW 530 530xi SteptronicCHF 10'900ab CHF 175 / Monat5.5 / 6Occasion06.2008160.000 kmAutomatBenzin6010 (LU)PreisCHF 10'900Finanzierungab CHF 175 / Monat5.5 / 6Anfragen MerkenDetails","CHF 10'900","530xi Steptronic","Occasion06.2008160.000 kmAutomatBenzin6010 (LU)"
1705078003-6,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW X5 X5 xDrive 40d SteptronicCHF 33'900ab CHF 543 / Monat3.5 / 6Occasion04.2015125.900 kmAutomatDiesel6964 (TI)PreisCHF 33'900Finanzierungab CHF 543 / Monat3.5 / 6Anfragen MerkenDetails","CHF 33'900","X5 xDrive 40d Steptronic","Occasion04.2015125.900 kmAutomatDiesel6964 (TI)"
1705078003-7,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW 525 525d TouringCHF 3'3005.5 / 6Occasion10.2004336.000 kmAutomatDiesel1700 (FR)PreisCHF 3'3005.5 / 6Anfragen MerkenDetails","CHF 3'300","525d Touring","Occasion10.2004336.000 kmAutomatDiesel1700 (FR)"
1705078003-8,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW 225 Active Tourer 225i xDrive Active Tourer SteptronicCHF 13'500ab CHF 216 / Monat5.5 / 6Occasion08.201797.000 kmAutomatBenzin3400 (BE)PreisCHF 13'500Finanzierungab CHF 216 / Monat5.5 / 6Anfragen MerkenDetails","CHF 13'500","225i xDrive Active Tourer Steptronic","Occasion08.201797.000 kmAutomatBenzin3400 (BE)"
1705078003-9,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW 435 435i Coupé xDrive Sport Line SteptronicCHF 22'950ab CHF 367 / Monat4.5 / 6Occasion06.2014112.500 kmAutomatBenzin8157 (ZH)PreisCHF 22'950Finanzierungab CHF 367 / Monat4.5 / 6Anfragen MerkenDetails","CHF 22'950","435i Coupé xDrive Sport Line Steptronic","Occasion06.2014112.500 kmAutomatBenzin8157 (ZH)"
1705078003-10,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=99","BMW X5 X5 xDrive 48V 40d M Sport Pro SteptronicCHF 112'300ab CHF 1'798 / MonatOccasion01.202410 kmAutomatElektro/Diesel1530 (VD)PreisCHF 112'300Finanzierungab CHF 1'798 / Monat MerkenDetails","CHF 112'300","X5 xDrive 48V 40d M Sport Pro Steptronic","Occasion01.202410 kmAutomatElektro/Diesel1530 (VD)"
1705078007-11,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW X3 X3 xDrive 20d M Sport SteptronicCHF 23'500ab CHF 376 / Monat4.5 / 6Occasion11.2016120.093 kmAutomatDiesel1018 (VD)PreisCHF 23'500Finanzierungab CHF 376 / Monat4.5 / 6Anfragen MerkenDetails","CHF 23'500","X3 xDrive 20d M Sport Steptronic","Occasion11.2016120.093 kmAutomatDiesel1018 (VD)"
1705078007-12,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW X3 X3 xDrive 30eCHF 86'999ab CHF 1'393 / MonatNeuwagen10 kmAutomatBenzin/Elektro4147 (BL)PreisCHF 86'999Finanzierungab CHF 1'393 / MonatAnfragen MerkenDetails","CHF 86'999","X3 xDrive 30e","Neuwagen10 kmAutomatBenzin/Elektro4147 (BL)"
1705078007-13,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW X1 X1 xDrive 30eCHF 69'900ab CHF 1'119 / MonatNeuwagen10 kmAutomatBenzin/Elektro3048 (BE)PreisCHF 69'900Finanzierungab CHF 1'119 / MonatAnfragen MerkenDetails","CHF 69'900","X1 xDrive 30e","Neuwagen10 kmAutomatBenzin/Elektro3048 (BE)"
1705078007-14,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW X1 X1 xDrive 23d 48V M SportCHF 56'900ab CHF 911 / Monat4 / 6Occasion12.202226.500 kmAutomatElektro/Diesel6595 (TI)PreisCHF 56'900Finanzierungab CHF 911 / Monat4 / 6Anfragen MerkenDetails","CHF 56'900","X1 xDrive 23d 48V M Sport","Occasion12.202226.500 kmAutomatElektro/Diesel6595 (TI)"
1705078007-15,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW iX iX1 xDrive 30 M SportCHF 71'900ab CHF 1'151 / MonatNeuwagen10 kmAutomatElektro8048 (ZH)PreisCHF 71'900Finanzierungab CHF 1'151 / MonatAnfragen MerkenDetails","CHF 71'900","iX1 xDrive 30 M Sport","Neuwagen10 kmAutomatElektro8048 (ZH)"
1705078007-16,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW iX iX xDrive40CHF 99'900ab CHF 1'599 / MonatNeuwagen10 kmAutomatElektro9500 (SG)PreisCHF 99'900Finanzierungab CHF 1'599 / MonatAnfragen MerkenDetails","CHF 99'900","iX xDrive40","Neuwagen10 kmAutomatElektro9500 (SG)"
1705078007-17,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW i3 i3 (94Ah)CHF 14'900ab CHF 239 / Monat5 / 6Occasion09.201675.200 kmAutomatElektro8957 (AG)PreisCHF 14'900Finanzierungab CHF 239 / Monat5 / 6Anfragen MerkenDetails","CHF 14'900","i3 (94Ah)","Occasion09.201675.200 kmAutomatElektro8957 (AG)"
1705078007-18,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW 730 730d xDrive SteptronicCHF 69'900ab CHF 1'119 / Monat4.5 / 6Occasion10.201945.200 kmAutomatDiesel6410 (SZ)PreisCHF 69'900Finanzierungab CHF 1'119 / Monat4.5 / 6Anfragen MerkenDetails","CHF 69'900","730d xDrive Steptronic","Occasion10.201945.200 kmAutomatDiesel6410 (SZ)"
1705078007-19,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW 520 520d xDrive Luxury Line SteptronicCHF 26'900ab CHF 431 / Monat5 / 6Occasion10.2018134.000 kmAutomatDiesel4658 (SO)PreisCHF 26'900Finanzierungab CHF 431 / Monat5 / 6Anfragen MerkenDetails","CHF 26'900","520d xDrive Luxury Line Steptronic","Occasion10.2018134.000 kmAutomatDiesel4658 (SO)"
1705078007-20,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=98","BMW X5 X5 xDrive M50d SteptronicCHF 69'999ab CHF 1'121 / Monat4.5 / 6Occasion11.202072.000 kmAutomatDiesel8000 (ZH)PreisCHF 69'999Finanzierungab CHF 1'121 / Monat4.5 / 6Anfragen MerkenDetails","CHF 69'999","X5 xDrive M50d Steptronic","Occasion11.202072.000 kmAutomatDiesel8000 (ZH)"
1705078010-21,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97","BMW 328 328i Touring Luxury LineCHF 7'000ab CHF 112 / Monat6 / 6Occasion12.2012162.000 kmManuellBenzin3535 (BE)PreisCHF 7'000Finanzierungab CHF 112 / Monat6 / 6Anfragen MerkenDetails","CHF 7'000","328i Touring Luxury Line","Occasion12.2012162.000 kmManuellBenzin3535 (BE)"
1705078010-22,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97","BMW X5 X5 xDrive 40i xLine SteptronicCHF 59'900ab CHF 959 / Monat3.5 / 6Occasion09.201990.000 kmAutomatBenzin1296 (VD)PreisCHF 59'900Finanzierungab CHF 959 / Monat3.5 / 6Anfragen MerkenDetails","CHF 59'900","X5 xDrive 40i xLine Steptronic","Occasion09.201990.000 kmAutomatBenzin1296 (VD)"
