,web-scraper-order,model_raw,Location,PLZ,Year,price,km,km_per_year
0,1705078003-1,X3 xDrive 20d xLine Steptronic,GE,1227,2016,22900,119500.0,14937.5
1,1705078003-2,540i,BL,4461,2006,13750,124900.0,6938.89
2,1705078003-3,225xe iPerformance Active Tourer Steptronic M Spor,BL,4460,2019,28800,28950.0,5790.0
3,1705078003-4,316i Compact,ZG,6300,2000,1100,248013.0,10333.88
4,1705078003-5,530xi Steptronic,LU,6010,2008,10900,160000.0,10000.0
5,1705078003-6,X5 xDrive 40d Steptronic,TI,6964,2015,33900,125900.0,13988.89
6,1705078003-7,525d Touring,FR,1700,2004,3300,336000.0,16800.0
7,1705078003-8,225i xDrive Active Tourer Steptronic,BE,3400,2017,13500,97000.0,13857.14
8,1705078003-9,435i Coupé xDrive Sport Line Steptronic,ZH,8157,2014,22950,112500.0,11250.0
10,1705078007-11,X3 xDrive 20d M Sport Steptronic,VD,1018,2016,23500,120093.0,15011.62
13,1705078007-14,X1 xDrive 23d 48V M Sport,TI,6595,2022,56900,26500.0,13250.0
16,1705078007-17,i3 (94Ah),AG,8957,2016,14900,75200.0,9400.0
17,1705078007-18,730d xDrive Steptronic,SZ,6410,2019,69900,45200.0,9040.0
18,1705078007-19,520d xDrive Luxury Line Steptronic,SO,4658,2018,26900,134000.0,22333.33
19,1705078007-20,X5 xDrive M50d Steptronic,ZH,8000,2020,69999,72000.0,18000.0
20,1705078010-21,328i Touring Luxury Line,BE,3535,2012,7000,162000.0,13500.0
21,1705078010-22,X5 xDrive 40i xLine Steptronic,VD,1296,2019,59900,90000.0,18000.0
22,1705078010-23,440i Gran Coupé xDrive M Sport Steptronic,GE,1213,2018,36900,85000.0,14166.67
23,1705078010-24,420i Coupé xDrive M Sport Steptronic,AG,4310,2019,31666,31000.0,6200.0
24,1705078010-25,iX1 xDrive 30,SG,9443,2023,61700,4000.0,4000.0
25,1705078010-26,320d Touring Sport Line Steptronic,BE,2557,2013,13990,180000.0,16363.64
26,1705078010-27,X3 xDrive 48V 20d Pure M Sport Steptronic,LU,6023,2021,39700,63000.0,21000.0
27,1705078010-28,Z4 sDrive 20i M Sport,ZH,8134,2021,45900,11000.0,3666.67
28,1705078010-29,X6 xDrive 30d Steptronic,ZH,8302,2020,69800,40150.0,10037.5
29,1705078010-30,X5 xDrive45e Steptronic,AG,5610,2020,65900,62000.0,15500.0
30,1705078013-31,X5 xDrive M Steptronic,AG,5502,2010,18500,180000.0,12857.14
31,1705078013-32,118i,TG,8500,2006,6900,134000.0,7444.44
32,1705078013-33,318i Touring,ZH,8952,2009,5500,152500.0,10166.67
33,1705078013-34,640i Cabrio xDrive,ZG,6343,2017,47320,41700.0,5957.14
34,1705078013-35,X3 M40i Individual,AG,5702,2022,72900,10199.0,5099.5
35,1705078013-36,X4 M40i Steptronic,AG,5702,2019,51900,62830.0,12566.0
36,1705078013-37,X5 xDrive 40d Pure M Sport Steptronic,SO,4512,2018,40900,113000.0,18833.33
37,1705078013-38,X1 xDrive 18d Sport Line Steptronic,TI,6991,2015,11500,148000.0,16444.44
38,1705078013-39,535i xDrive Steptronic,VD,1303,2014,27900,31000.0,3100.0
39,1705078013-40,220i Luxury Line Steptronic,AG,5032,2017,21500,89000.0,12714.29
40,1705078016-41,X3 xDrive M40i Steptronic,SG,9434,2018,34500,137800.0,22966.67
41,1705078016-42,340i xDrive Touring M Sport Steptronic,FR,1616,2015,33900,94000.0,10444.44
42,1705078016-43,420d Gran Coupé xDrive M Sport Steptronic,SZ,6438,2016,19500,161500.0,20187.5
43,1705078016-44,530d Touring xDrive Luxury Line Steptronic,SG,9450,2014,16500,186000.0,18600.0
44,1705078016-45,335i Cabriolet Steptronic,AG,5445,2007,7000,175000.0,10294.12
45,1705078016-46,330i Touring xDrive Steptronic M Sport,SZ,6430,2019,35000,90947.0,18189.4
46,1705078016-47,M850i xDrive Steptronic,SG,9434,2021,71900,64300.0,21433.33
47,1705078016-48,M3 Coupé,AG,5430,2008,54999,107500.0,6718.75
48,1705078016-49,M135i xDrive Steptronic,GR,7013,2015,23400,137575.0,15286.11
49,1705078016-50,118i,AG,8957,2006,7900,86600.0,4811.11
50,1705078020-51,530d xDrive Touring Steptronic,GR,7000,2011,6800,270000.0,20769.23
51,1705078020-52,M550d xDrive Touring Steptronic,GR,7000,2012,8900,223000.0,18583.33
52,1705078020-53,X5 xDrive M50d Steptronic,LU,6012,2017,39900,102000.0,14571.43
53,1705078020-54,535d Steptronic,SO,2545,2008,6900,303000.0,18937.5
54,1705078020-55,525d Touring Steptronic,VD,1007,2010,8900,188000.0,13428.57
55,1705078020-56,M4 Coupé CS DKG,BE,2542,2017,83000,39000.0,5571.43
56,1705078020-57,330e iPerformance Steptronic,VD,1022,2017,23000,140000.0,20000.0
57,1705078020-58,X5 xDrive 30d Steptronic,BL,4133,2014,22500,225000.0,22500.0
58,1705078020-59,325xi,VD,1584,2000,8200,105000.0,4375.0
59,1705078020-60,335i Coupé,ZH,8310,2006,7990,173000.0,9611.11
60,1705078023-61,535i xDrive Touring Steptronic,ZG,6331,2011,13000,227000.0,17461.54
61,1705078023-62,i3 (94Ah) Range Extender,BL,4415,2017,18900,60061.0,8580.14
62,1705078023-63,X5M Steptronic,ZH,8172,2017,61800,80800.0,11542.86
63,1705078023-64,M340i xDrive 48V Touring Steptronic,SG,9434,2020,44500,89900.0,22475.0
64,1705078023-65,525d xDrive Touring Steptronic,BE,3250,2012,7999,245000.0,20416.67
65,1705078023-66,325i Cabriolet Steptronic,ZH,8633,2007,8900,186900.0,10994.12
66,1705078023-67,320d Touring,ZH,8404,2003,4490,228000.0,10857.14
67,1705078023-68,X5 xDrive 30d Steptronic,GR,7000,2014,26500,137000.0,13700.0
68,1705078023-69,118d,GR,7000,2005,5500,132000.0,6947.37
69,1705078023-70,118d xDrive,GR,7000,2014,5900,160000.0,16000.0
70,1705078027-71,120i Steptronic,VD,1030,2008,2900,180000.0,11250.0
71,1705078027-72,118d xDrive Edition M Sport,GR,7000,2018,17990,139000.0,23166.67
72,1705078027-73,X1 xDrive 20d,GR,7000,2010,11800,129000.0,9214.29
73,1705078027-74,X1 xDrive 20d,GR,7000,2009,5200,210000.0,14000.0
74,1705078027-75,X1 xDrive 20d,GR,7000,2010,6500,174000.0,12428.57
75,1705078027-76,X5 xDrive 50i Steptronic,SZ,6405,2015,41500,114000.0,12666.67
76,1705078027-77,X3 xDrive M40i Steptronic,ZH,8157,2018,38200,110000.0,18333.33
77,1705078027-78,216d Gran Tourer Luxury Line Steptronic,LU,6020,2016,12900,123000.0,15375.0
78,1705078027-79,X1 xDrive 23d Steptronic,ZH,8405,2010,11900,190000.0,13571.43
79,1705078027-80,X3 xDrive 20d Individual xLine Steptronic,GR,7000,2018,24800,226000.0,37666.67
80,1705078031-81,X1 xDrive 25e M Sport Steptronic,ZH,8352,2022,40700,22500.0,11250.0
81,1705078031-82,i3s (120Ah) Fleet Edition,AG,5615,2019,23900,76000.0,15200.0
82,1705078031-83,X6 M50d Steptronic,LU,6214,2015,35900,118500.0,13166.67
83,1705078031-84,X5 xDrive 48V 30d M Sport Steptronic,BE,3852,2022,81500,21000.0,10500.0
85,1705078031-86,M2 Competition,AG,5702,2020,54900,15499.0,3874.75
86,1705078031-87,330xd,LU,6020,2008,5900,225000.0,14062.5
87,1705078031-88,X1 xDrive 18d Sport Line Steptronic,LU,6020,2014,8900,394000.0,39400.0
89,1705078031-90,220d xDrive Gran Tourer Luxury Line Steptronic,GR,7000,2016,10800,175000.0,21875.0
90,1705078034-91,X3 xDrive 48V M40d Steptronic,AG,5702,2022,69900,22745.0,11372.5
91,1705078034-92,650i Coupé xDrive,AG,5702,2015,44900,57199.0,6355.44
92,1705078034-93,740d xDrive Steptronic,AG,5702,2020,65900,44900.0,11225.0
93,1705078034-94,M850i xDrive Steptronic,AG,5702,2019,79900,46270.0,9254.0
94,1705078034-95,X1 xDrive 25d Steptronic,JU,2800,2019,33400,89200.0,17840.0
95,1705078034-96,X5 xDrive 30d Steptronic,AG,5707,2010,15000,300000.0,21428.57
96,1705078034-97,320i,ZH,8447,2001,3200,270000.0,11739.13
97,1705078034-98,335d Touring Steptronic,VD,1030,2007,5500,320000.0,18823.53
98,1705078034-99,218d xDrive Active Tourer M Sport Steptronic,VD,1030,2016,12500,123500.0,15437.5
99,1705078034-100,118d,BE,4564,2019,9900,210000.0,42000.0
100,1705078037-101,X4M M Competition Steptronic,SG,9422,2020,62900,43000.0,10750.0
101,1705078037-102,320d Touring Sport Line Steptronic,FR,3185,2013,14950,151000.0,13727.27
103,1705078037-104,530d xDrive Touring Steptronic,SG,9242,2018,29900,112900.0,18816.67
104,1705078037-105,M3 Cabriolet,AG,5503,2004,33700,126500.0,6325.0
