web-scraper-order,web-scraper-start-url,text_raw,price_raw,model_raw,type_year_km_transmission_fuel,Location,PLZ,km_raw,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,km_per_year_cat
1704481912-1,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW 220 GRAN TOURER 220D XDRIVE GRAN TOURER STEPTRONICCHF 21'000AB CHF 336 / MONAT4.5 / 6OCCASION10.2017107.000 KMAUTOMATDIESEL1299 (VD)PREISCHF 21'000FINANZIERUNGAB CHF 336 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 21'000,220d xDrive Gran Tourer Steptronic,Occasion10.2017107.000 kmAutomatDiesel1299 (VD),VD,1299,107.000,2017,21000,107000,0,0,1,1,50-120k,15285.71,high
1704481912-2,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW X5M X5M STEPTRONICCHF 38'500AB CHF 616 / MONAT5 / 6OCCASION08.2016171.000 KMAUTOMATBENZIN8730 (SG)PREISCHF 38'500FINANZIERUNGAB CHF 616 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 38'500,X5M Steptronic,Occasion08.2016171.000 kmAutomatBenzin8730 (SG),SG,8730,171.000,2016,38500,171000,0,0,0,1,120k+,21375.0,high
1704481912-3,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW X3 X3 M40D INDIVIDUAL STEPTRONICCHF 44'990AB CHF 720 / MONAT4.5 / 6OCCASION12.201988.900 KMAUTOMATDIESEL3178 (FR)PREISCHF 44'990FINANZIERUNGAB CHF 720 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 44'990,X3 M40d Individual Steptronic,Occasion12.201988.900 kmAutomatDiesel3178 (FR),FR,3178,88.900,2019,44990,88900,0,0,0,1,50-120k,17780.0,high
1704481912-4,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW X5 X5 XDRIVE 30D STEPTRONICCHF 26'500AB CHF 424 / MONAT4.5 / 6OCCASION11.2016164.900 KMAUTOMATDIESEL4461 (BL)PREISCHF 26'500FINANZIERUNGAB CHF 424 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 26'500,X5 xDrive 30d Steptronic,Occasion11.2016164.900 kmAutomatDiesel4461 (BL),BL,4461,164.900,2016,26500,164900,0,0,1,1,120k+,20612.5,high
1704481912-5,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW 320 320I CABRIOLET STEPTRONICCHF 16'750AB CHF 268 / MONAT5 / 6OCCASION06.201079.600 KMAUTOMATBENZIN4461 (BL)PREISCHF 16'750FINANZIERUNGAB CHF 268 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 16'750,320i Cabriolet Steptronic,Occasion06.201079.600 kmAutomatBenzin4461 (BL),BL,4461,79.600,2010,16750,79600,0,0,0,1,50-120k,5685.71,low
1704481912-6,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW 525 525D TOURING XDRIVE LUXURY LINE STEPTRONICCHF 21'500AB CHF 344 / MONAT5 / 6OCCASION09.2014110.700 KMAUTOMATDIESEL4461 (BL)PREISCHF 21'500FINANZIERUNGAB CHF 344 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 21'500,525d Touring xDrive Luxury Line Steptronic,Occasion09.2014110.700 kmAutomatDiesel4461 (BL),BL,4461,110.700,2014,21500,110700,1,0,1,1,50-120k,11070.0,medium
1704481912-7,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW X1 X1 XDRIVE 25D XLINE STEPTRONICCHF 24'900AB CHF 399 / MONAT4.5 / 6OCCASION10.201790.100 KMAUTOMATDIESEL8735 (SG)PREISCHF 24'900FINANZIERUNGAB CHF 399 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 24'900,X1 xDrive 25d xLine Steptronic,Occasion10.201790.100 kmAutomatDiesel8735 (SG),SG,8735,90.100,2017,24900,90100,0,0,1,1,50-120k,12871.43,medium
1704481912-8,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW X5 X5 XDRIVE 30D (3.0D) STEPTRONICCHF 8'900AB CHF 143 / MONAT5 / 6OCCASION10.2007250.000 KMAUTOMATDIESEL3930 (VS)PREISCHF 8'900FINANZIERUNGAB CHF 143 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 8'900,X5 xDrive 30d (3.0d) Steptronic,Occasion10.2007250.000 kmAutomatDiesel3930 (VS),VS,3930,250.000,2007,8900,250000,0,0,1,1,120k+,14705.88,medium
1704481912-9,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW M4 M4 CABRIOLET DRIVELOGIC M COMPETITIONCHF 63'890AB CHF 1'023 / MONAT4.5 / 6OCCASION05.201959.900 KMAUTOMATBENZIN6210 (LU)PREISCHF 63'890FINANZIERUNGAB CHF 1'023 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 63'890,M4 Cabriolet Drivelogic M Competition,Occasion05.201959.900 kmAutomatBenzin6210 (LU),LU,6210,59.900,2019,63890,59900,0,1,0,1,50-120k,11980.0,medium
1704481912-10,https://www.comparis.ch/carfinder/marktplatz/bmw?pn=5,BMW M135 M135I XDRIVE STEPTRONICCHF 36'990AB CHF 592 / MONAT5 / 6OCCASION05.202033.600 KMAUTOMATBENZIN4663 (SO)PREISCHF 36'990FINANZIERUNGAB CHF 592 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 36'990,M135i xDrive Steptronic,Occasion05.202033.600 kmAutomatBenzin4663 (SO),SO,4663,33.600,2020,36990,33600,0,0,1,1,0-50k,8400.0,low
