,web-scraper-order,model_raw,Location,PLZ,Year,price,km,km_per_year
0,1704481912-1,220d xDrive Gran Tourer Steptronic,VD,1299,2017,21000,107000,15285.71
1,1704481912-2,X5M Steptronic,SG,8730,2016,38500,171000,21375.0
2,1704481912-3,X3 M40d Individual Steptronic,FR,3178,2019,44990,88900,17780.0
3,1704481912-4,X5 xDrive 30d Steptronic,BL,4461,2016,26500,164900,20612.5
4,1704481912-5,320i Cabriolet Steptronic,BL,4461,2010,16750,79600,5685.71
5,1704481912-6,525d Touring xDrive Luxury Line Steptronic,BL,4461,2014,21500,110700,11070.0
6,1704481912-7,X1 xDrive 25d xLine Steptronic,SG,8735,2017,24900,90100,12871.43
7,1704481912-8,X5 xDrive 30d (3.0d) Steptronic,VS,3930,2007,8900,250000,14705.88
8,1704481912-9,M4 Cabriolet Drivelogic M Competition,LU,6210,2019,63890,59900,11980.0
9,1704481912-10,M135i xDrive Steptronic,SO,4663,2020,36990,33600,8400.0
10,1704481916-11,220d xDrive Gran Tourer Steptronic,VD,1299,2017,21000,107000,15285.71
11,1704481916-12,X5M Steptronic,SG,8730,2016,38500,171000,21375.0
12,1704481916-13,X3 M40d Individual Steptronic,FR,3178,2019,44990,88900,17780.0
13,1704481916-14,X5 xDrive 30d Steptronic,BL,4461,2016,26500,164900,20612.5
14,1704481916-15,320i Cabriolet Steptronic,BL,4461,2010,16750,79600,5685.71
15,1704481916-16,525d Touring xDrive Luxury Line Steptronic,BL,4461,2014,21500,110700,11070.0
16,1704481916-17,X1 xDrive 25d xLine Steptronic,SG,8735,2017,24900,90100,12871.43
17,1704481916-18,X5 xDrive 30d (3.0d) Steptronic,VS,3930,2007,8900,250000,14705.88
18,1704481916-19,M4 Cabriolet Drivelogic M Competition,LU,6210,2019,63890,59900,11980.0
19,1704481916-20,M135i xDrive Steptronic,SO,4663,2020,36990,33600,8400.0
20,1704481921-21,220d xDrive Gran Tourer Steptronic,VD,1299,2017,21000,107000,15285.71
21,1704481921-22,X5M Steptronic,SG,8730,2016,38500,171000,21375.0
22,1704481921-23,X3 M40d Individual Steptronic,FR,3178,2019,44990,88900,17780.0
23,1704481921-24,X5 xDrive 30d Steptronic,BL,4461,2016,26500,164900,20612.5
24,1704481921-25,320i Cabriolet Steptronic,BL,4461,2010,16750,79600,5685.71
25,1704481921-26,525d Touring xDrive Luxury Line Steptronic,BL,4461,2014,21500,110700,11070.0
26,1704481921-27,X1 xDrive 25d xLine Steptronic,SG,8735,2017,24900,90100,12871.43
27,1704481921-28,X5 xDrive 30d (3.0d) Steptronic,VS,3930,2007,8900,250000,14705.88
28,1704481921-29,M4 Cabriolet Drivelogic M Competition,LU,6210,2019,63890,59900,11980.0
29,1704481921-30,M135i xDrive Steptronic,SO,4663,2020,36990,33600,8400.0
30,1704481925-31,220d xDrive Gran Tourer Steptronic,VD,1299,2017,21000,107000,15285.71
31,1704481925-32,X5M Steptronic,SG,8730,2016,38500,171000,21375.0
32,1704481925-33,X3 M40d Individual Steptronic,FR,3178,2019,44990,88900,17780.0
33,1704481925-34,X5 xDrive 30d Steptronic,BL,4461,2016,26500,164900,20612.5
34,1704481925-35,320i Cabriolet Steptronic,BL,4461,2010,16750,79600,5685.71
35,1704481925-36,525d Touring xDrive Luxury Line Steptronic,BL,4461,2014,21500,110700,11070.0
36,1704481925-37,X1 xDrive 25d xLine Steptronic,SG,8735,2017,24900,90100,12871.43
37,1704481925-38,X5 xDrive 30d (3.0d) Steptronic,VS,3930,2007,8900,250000,14705.88
38,1704481925-39,M4 Cabriolet Drivelogic M Competition,LU,6210,2019,63890,59900,11980.0
39,1704481925-40,M135i xDrive Steptronic,SO,4663,2020,36990,33600,8400.0
40,1704481929-41,220d xDrive Gran Tourer Steptronic,VD,1299,2017,21000,107000,15285.71
41,1704481929-42,X5M Steptronic,SG,8730,2016,38500,171000,21375.0
42,1704481929-43,X3 M40d Individual Steptronic,FR,3178,2019,44990,88900,17780.0
43,1704481929-44,X5 xDrive 30d Steptronic,BL,4461,2016,26500,164900,20612.5
44,1704481929-45,320i Cabriolet Steptronic,BL,4461,2010,16750,79600,5685.71
45,1704481929-46,525d Touring xDrive Luxury Line Steptronic,BL,4461,2014,21500,110700,11070.0
46,1704481929-47,X1 xDrive 25d xLine Steptronic,SG,8735,2017,24900,90100,12871.43
47,1704481929-48,X5 xDrive 30d (3.0d) Steptronic,VS,3930,2007,8900,250000,14705.88
48,1704481929-49,M4 Cabriolet Drivelogic M Competition,LU,6210,2019,63890,59900,11980.0
49,1704481929-50,M135i xDrive Steptronic,SO,4663,2020,36990,33600,8400.0
